iter	Passed	Remaining
0	126	103536
1	261	106648
2	389	105851
3	517	105276
4	651	105980
5	772	104493
6	911	105639
7	1048	106116
8	1186	106675
9	1332	107627
10	1475	108250
11	1616	108592
12	1758	108863
13	1892	108696
14	2019	108088
15	2160	108302
16	2305	108619
17	2431	108059
18	2564	107864
19	2685	107149
20	2805	106484
21	2947	106655
22	3066	105994
23	3196	105741
24	3324	105459
25	3460	105410
26	3591	105225
27	3743	105609
28	3890	105848
29	4047	106310
30	4177	106046
31	4330	106356
32	4462	106151
33	4602	106129
34	4724	105692
35	4862	105621
36	5006	105685
37	5130	105310
38	5252	104911
39	5397	104987
40	5517	104558
41	5656	104504
42	5780	104188
43	5920	104152
44	6058	104066
45	6184	103785
46	6310	103521
47	6434	103223
48	6571	103134
49	6706	103007
50	6842	102909
51	6987	102933
52	7117	102732
53	7258	102688
54	7384	102436
55	7526	102417
56	7659	102260
57	7784	102005
58	7911	101779
59	8036	101527
60	8177	101477
61	8316	101409
62	8462	101414
63	8596	101279
64	8744	101301
65	8872	101094
66	9017	101079
67	9157	101002
68	9276	100693
69	9403	100479
70	9534	100308
71	9663	100124
72	9805	100067
73	9930	99836
74	10052	99582
75	10194	99529
76	10326	99378
77	10454	99184
78	10582	98991
79	10707	98776
80	10849	98715
81	10973	98492
82	11110	98386
83	11230	98136
84	11372	98073
85	11518	98040
86	11645	97846
87	11788	97788
88	11913	97580
89	12045	97433
90	12170	97229
91	12287	96962
92	12426	96876
93	12554	96693
94	12679	96500
95	12857	96700
96	12990	96560
97	13136	96511
98	13267	96358
99	13404	96245
100	13525	96020
101	13670	95962
102	13806	95842
103	13940	95703
104	14079	95609
105	14230	95587
106	14360	95426
107	14504	95353
108	14630	95164
109	14764	95026
110	14929	95092
